"chemostat","time","prev0","logit_g","logit_prev"
"chem_endemic_1",35,100,-0.454420893898487,5.60343349321645
"chem_endemic_1",36,100,-0.449286603340954,5.61035419303922
"chem_endemic_1",37,100,-0.469267308553315,5.66466561255211
"chem_endemic_1",38,100,-0.488291029413829,5.68446008483435
"chem_endemic_1",39,100,-0.517102776437102,5.69302539771825
"chem_endemic_1",40,100,-0.514776374270256,5.71127386253976
"chem_endemic_1",41,100,-0.531213385421892,5.74049744081671
"chem_endemic_1",42,100,-0.542084228726962,5.77614205707175
"chem_endemic_1",43,100,-0.565887588707062,5.79698680430469
"chem_endemic_1",44,100,-0.562096353881969,5.82176809803783
"chem_endemic_1",45,100,-0.590483150392293,5.84142694290876
"chem_endemic_1",46,100,-0.595366179715031,5.8761027630115
"chem_endemic_1",47,100,-0.602299805938747,5.89422471585132
"chem_endemic_1",48,100,-0.626959064787882,5.91082636970971
"chem_endemic_1",49,100,-0.626303581489275,5.94904735862087
"chem_endemic_1",50,100,-0.65830794159751,5.98729572736793
"chem_endemic_1",51,100,-0.686249686954576,5.99752122696996
"chem_endemic_1",52,100,-0.666511130320931,6.03443656698344
"chem_endemic_1",53,100,-0.675764056210186,6.03717410863205
"chem_endemic_1",54,100,-0.700036333645766,6.07770760483292
"chem_endemic_1",55,100,-0.705144828757033,6.1082823533592
"chem_endemic_1",56,100,-0.734753261493378,6.13084013038779
"chem_endemic_1",57,100,-0.737473386186856,6.15354142274312
"chem_endemic_1",58,100,-0.768624692394781,6.17064990282814
"chem_endemic_1",59,100,-0.750405118398535,6.19304894871377
"chem_endemic_1",60,100,-0.756625052887926,6.21571094943509
"chem_epidemic_2",1,1,0.0371423170770087,-4.5680218170047
"chem_epidemic_2",2,1,0.292854411420669,-4.32772722225258
"chem_epidemic_2",3,1,1.0248244500963,-3.43811691014778
"chem_epidemic_2",4,1,1.70451363723936,-1.98670263223679
"chem_epidemic_2",5,1,1.96056202506244,-0.456589006526372
"chem_epidemic_2",6,1,1.466096262595,0.702589715615498
"chem_epidemic_2",7,1,0.604041306907175,1.59678907640215
"chem_epidemic_2",8,1,0.213212531789542,2.31355543779852
"chem_epidemic_2",9,1,0.133782372114153,2.69819311572908
"chem_epidemic_2",10,1,0.0990142395121055,2.87181081284282
"chem_epidemic_2",11,1,0.0862722176655937,2.95201433959286
"chem_epidemic_2",12,1,0.0638714620920895,2.9753191969943
"chem_epidemic_2",13,1,0.0796292398742594,2.99808417476858
"chem_epidemic_2",14,1,0.0495256533335167,3.02115978393652
"chem_epidemic_2",15,1,0.047383110416352,3.03453951227961
"chem_epidemic_2",16,1,-0.00246925034625176,3.09761907136331
"chem_epidemic_2",17,1,0.00589678309118268,3.10386970616755
"chem_epidemic_2",18,1,-0.00946651888881171,3.15851580649409
"chem_epidemic_2",19,1,-0.028092437928641,3.20301682652648
"chem_epidemic_2",20,1,-0.0135525167928341,3.20228772281965
"chem_epidemic_2",21,1,-0.0563265864735378,3.25643716855252
"chem_epidemic_2",22,1,-0.052142414581817,3.27932865902315
"chem_epidemic_2",23,1,-0.0600106934859122,3.29857242589674
"chem_epidemic_2",24,1,-0.0798375254000201,3.33129032189292
"chem_epidemic_2",25,1,-0.103511780916719,3.36236062707189
"chem_epidemic_2",26,1,-0.0984827797286765,3.40480199359008
"chem_epidemic_2",27,1,-0.11931926383684,3.42702707800038
"chem_epidemic_2",28,1,-0.144786456229712,3.47985939382134
