"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","tau","sigma_prev","sigma_g","sigma_q"
446,1601.1342362323,"Successful completion",0.0199999989868784,0.993102918540387,0.437374768567157,0.617422377019898,0.570652771114946,1.90632854024533e-08,0.0719203982681885,3.99958202619272,1.67708995353328,0.574009017896381,1.03783401788311
447,1592.35451300467,"Successful completion",0.00870571835894139,0.994425501030645,0.405068531463686,0.591048060492779,0.541827170642341,9.87238491294251e-09,0.0761716696276932,3.73599705412194,1.57462634960548,0.572422334263691,1.12582151047443
448,1453.00923400222,"Maximum number of evaluations exceeded",0.00189252977506738,0.995860313605022,0.40000024541783,0.356825171339901,0.0188322192886116,2.73754010822798e-08,0.0809591333034541,0.718405236552465,1.43371640202757,0.52813786659492,0.868017101723905
449,1486.89638924982,"Successful completion",0.02,0.995615501092599,0.4,0.524522783022063,0.118822253603458,1e-06,0.096421667546459,0.54986815209491,1.99999999620396,0.550730351813689,0.815555118933907
450,1463.41080851601,"Successful completion",0.0199999998469451,0.995633700715696,0.400000004723358,0.528091162639912,0.117972022487603,9.99961949406444e-07,0.0975399751661209,0.532356892841883,1.53672879738038,0.550296655459324,0.819179110700745
451,1472.24115459399,"Successful completion",0.00507962518151201,0.995703548407043,0.400000002616653,0.392427427938123,0.0357317982945857,9.43050788777754e-07,0.0900152981688769,0.55477325903698,1.99876829290536,0.528869921678982,0.836390300552913
452,2008.26988096811,"Successful completion",0.0199974673736185,0.993402774621787,0.400000000057366,1,0.619934887785407,9.99999999997971e-07,0.199999999999956,0.500000003180023,1.65627704771089,1.20135343173841,1.54633091200074
453,1458.97249850228,"Successful completion",0.0160844033390893,0.995739181570938,0.400000000000472,0.520535372567507,0.0918362646972708,9.99999999982254e-07,0.0999729434600081,0.500255848665125,1.53137316391214,0.552426677628935,0.809144100160538
454,1463.46923657638,"Successful completion",0.019994671811403,0.995613562249887,0.40032537273643,0.531539660479382,0.117486781566553,9.67917409077154e-07,0.101881403900957,0.503051048702006,1.53607675224843,0.549784419037115,0.820563191056422
455,1583.29124395167,"Successful completion",0.00101441361777559,0.995725367429672,0.400000000000001,0.265535560589527,0.0215186808037244,9.98955317393256e-07,0.0960398204507225,0.500020109409145,1.52369919024041,0.508844129018616,2
456,1691.01371453817,"Successful completion",0.0197892138640043,0.992231937766876,0.41994201422805,0.780725543569124,0.7549771592999,1.28405577686447e-07,0.199991350999241,0.818352412032532,1.55107689809696,0.630695169679025,1.1873584757106
457,1538.40238497039,"Successful completion",0.0196860593148384,0.995914414774987,0.427140442587404,0.836672954411291,0.101868894273809,2.48964422104753e-09,0.0588434850782187,3.99999999994447,1.95135058178286,0.59542531684101,0.88179159734695
458,1513.42027976401,"Successful completion",0.0197792814062449,0.995603941105351,0.4100601456182,0.999999960371195,0.104190353974774,3.41721897588109e-08,0.104784028531207,0.501575683198162,1.5213926199866,0.549958340390822,0.97527475819436
459,1514.47462880727,"Successful completion",0.0199722179679764,0.995669322834997,0.409461726878307,0.999916622673913,0.102945928916772,6.13860820018042e-08,0.100243819986635,0.508335424685729,1.5248957797914,0.552325802729275,0.956404542790392
460,1463.56896413275,"Successful completion",0.02,0.995615342972679,0.4,0.531696804186031,0.117566701263516,9.9978173784751e-07,0.102004741970195,0.502171655920273,1.53517572984713,0.550004554775884,0.820594183021325
461,1459.49199007048,"Successful completion",0.00100000000000067,0.995680183693411,0.400000000000001,0.291217757737122,0.0161468492760105,1e-06,0.098942128979719,0.500001368633548,1.52683647584851,0.519586182493771,0.879021101940566
462,1472.01716378834,"Successful completion",0.00530999375026549,0.995694427216391,0.401773533371774,0.393356895782156,0.0368676800519393,9.29885660215523e-07,0.0869267472075515,0.57984603311534,1.99999901227818,0.529544890403381,0.832529817785679
463,1461.97123357556,"Successful completion",0.00639342069343441,0.995940846564844,0.407124630326494,0.394869754019015,0.0456453164469381,4.5479552206413e-09,0.0451089135014635,3.88042157995219,1.55291569562315,0.56783271957185,0.807169577306872
464,1472.57396249678,"Successful completion",0.00505249027324281,0.99569298675726,0.400011292308268,0.395288316660694,0.0356176006711903,9.94687686172271e-07,0.0972505345736338,0.503838455766029,1.99985961508472,0.527168577507503,0.840074369900145
465,1480.66223786238,"Successful completion",0.0199801000177428,0.99581139580842,0.419589309260218,0.531491125586883,0.118257436777809,3.39974384492846e-09,0.0528264229771838,3.99848230296537,1.53962878386701,0.581249882243557,0.804429230930998
466,1444.66721272317,"Successful completion",0.00476877031879977,0.995723378699832,0.400017386491308,0.389554904872227,0.0339862487491398,9.99999992180765e-07,0.0941725473544677,0.517825372351205,1.4978579190064,0.525464442044619,0.84492820112617
467,1577.82322024446,"Successful completion",0.0030563026379624,0.995778490056584,0.401211641568302,0.343525093526821,0.0283281282920294,9.9998849438805e-07,0.093700706345475,0.500000018588231,1.49433624559014,0.514511966994627,1.99999997202733
468,1449.0219350077,"Successful completion",0.00360642365719633,0.995640713350146,0.432306082597366,0.333964364811671,0.0302668875900774,2.38621232066129e-07,0.0961688838194667,0.509973804567708,1.55794320219988,0.511846602436988,0.843061772951334
469,1607.13437617618,"Successful completion",0.0168696777606282,0.994279005793893,0.400324398652311,0.663747868772883,0.631728144870225,8.72840510923097e-07,0.0730800751453487,3.91113693929901,1.69617904930148,0.587939069142533,1.0634263257865
470,1975.2786047184,"Successful completion",0.0199796172493553,0.99395144867726,0.599999165874936,0.577072023355353,0.55904276890849,9.9972367260822e-07,0.0657778876821817,3.98328487632156,1.9995024248402,1.99902210309667,1.13268822530165
471,1470.68394179969,"Successful completion",0.00512321104235807,0.99571122846939,0.414386161937912,0.387179921738478,0.0351663177409833,9.99999423124536e-07,0.0900398005784616,0.551652247100048,1.99999992440868,0.529435987768728,0.830548783912847
472,1495.47237103716,"Maximum number of evaluations exceeded",0.0197866479613256,0.99716744782652,0.440088782904478,0.461732903363042,0.122256833535114,3.69379103684892e-09,0.0505411080507514,3.99999883551535,1.58018410352459,0.615352919071842,0.801687268875986
473,1486.89552308986,"Successful completion",0.0199999999998732,0.995607743927183,0.400000000000096,0.524985743001029,0.118809007969805,1e-06,0.0965539828218529,0.54889889095792,1.99999999999121,0.550067359532139,0.816108503494301
474,1484.0087206463,"Successful completion",0.0199999999999776,0.995825515346723,0.400000040493807,0.541797877925147,0.122681551403941,3.46063060783287e-09,0.0529297538240802,3.99938876258483,1.53852723151238,0.581004163863923,0.814236067299096
475,1550.12552951457,"Successful completion",0.0199999901430945,0.995705053659243,0.423022730535838,0.397145715053841,0.2479944244388,1e-06,0.118550630770422,0.500175282336575,1.53816102911886,0.565107824292758,1.03280594622258
476,1483.97734019404,"Successful completion",0.0199999999875099,0.995825822587711,0.400101313735325,0.541670347019411,0.122683356006219,3.4608161179803e-09,0.0529296350469322,3.9993019196622,1.53867778914049,0.581011732957728,0.814277444145008
477,1482.40716818699,"Successful completion",0.0199974175513022,0.995472117551561,0.400782625468706,0.559946058222359,0.101825781875566,8.99807785708476e-07,0.104744875745393,0.508247695898237,1.40297473252686,0.590539057362988,0.798542259817807
478,1461.08588326623,"Successful completion",0.0199994339739351,0.995613101587048,0.41770795132822,0.520381337830455,0.113752503512422,6.53366746258388e-07,0.0983794243748442,0.522037289674935,1.53600126638168,0.550879263239868,0.812630698985863
479,1481.60221282331,"Successful completion",0.0175740957016276,0.996699272259133,0.435941614496196,0.464112671285797,0.098645646700272,8.83163525223502e-07,0.0640367882868135,0.904887849272028,1.81196776813931,0.567028531926439,0.808461726272637
480,1482.00629071302,"Successful completion",0.0025628610713908,0.996018841362923,0.400004412838354,0.371644623299128,0.0208256647048538,4.95323254752471e-09,0.0431986082635112,3.99994085371021,1.99999933261549,0.547507527810913,0.819550018283951
481,1450.87058262499,"Successful completion",0.00505273559009367,0.9957577368831,0.400000000000005,0.359309687852695,0.0423625610078085,9.80329551849135e-08,0.0996227095349621,0.5,1.47976510849477,0.526920494315759,0.855390415866004
482,1785.38083319936,"Successful completion",0.0199587219986541,0.995643200523171,0.438176456190068,0.491259585649124,0.0776850433820734,9.80825702149795e-07,0.0975782032046153,0.500269538045083,1.53388736706355,1.99999921349737,0.773691609344805
483,1444.64820322616,"Successful completion",0.00475104355057113,0.995736505485205,0.4,0.388834709971957,0.0339052634270644,1e-06,0.0935877105371093,0.522087460081052,1.49973250847122,0.525888908562612,0.844735243837027
484,1459.24524930315,"Successful completion",0.0178690637215021,0.995636295926967,0.415212154996848,0.500260291749713,0.10328720208521,9.77629355989229e-07,0.0849484799311723,0.624960825769367,1.54488551146838,0.548915707743747,0.81076415856741
485,1444.80983078859,"Successful completion",0.00474794361690821,0.995718127895717,0.4,0.39029221524196,0.0338674642456004,1e-06,0.0968106271588426,0.500000000000008,1.4993518092976,0.525157659241222,0.847085266595914
486,1607.35966985148,"Successful completion",0.0191683247869034,0.994326387132337,0.407825239895476,0.667194507213086,0.635191382493779,9.93991438013761e-07,0.0729016445200577,3.99709125408335,1.70607987719671,0.587504698146537,1.05787454149178
487,1468.73320502302,"Successful completion",0.0199999999976975,0.995439216158576,0.4,0.468856068525849,0.127218906255091,9.99999999999591e-07,0.0795603759991328,0.708254272451307,1.55232914600087,0.550073913372749,0.826785669315058
488,1583.39412301511,"Successful completion",0.001000025729506,0.995733141146609,0.400292466663342,0.265479021158577,0.0213011785654977,9.99936221333669e-07,0.096046303677945,0.500000007658896,1.5240664627789,0.508539447266236,1.99999999981511
489,1533.19744961575,"Successful completion",0.00421247929688761,0.989816771979577,0.420386527361412,0.353949161663622,0.0280992969683932,1.31874980056642e-07,0.0626642522834928,0.971188541964799,1.9999991186733,0.759347568262129,0.790488914787753
490,1538.68183502612,"Successful completion",0.0199999999999995,0.995571167462411,0.400000001060719,0.999785403563556,0.108326109679467,2.27999968994549e-08,0.0986863549140173,0.581995801655701,1.99639177754886,0.55141147435607,0.96645108150404
491,1453.50110303554,"Successful completion",0.00235702688122989,0.996008291434714,0.421112668862661,0.367971457617593,0.0184194281706017,4.80237092722109e-09,0.0432444379124383,3.99999941712566,1.51615933171853,0.550494141350182,0.813464227215869
492,1617.54404232949,"Successful completion",0.0199820933397645,0.994574843532997,0.401016005272691,0.643385561222478,0.606132020122863,9.99710328779044e-07,0.069186656979275,3.99992726557405,1.99995151503748,0.589880703181613,1.04908915837747
493,1461.63075988205,"Successful completion",0.0196710195221215,0.995645292275961,0.408616033840405,0.514543861305423,0.114934660873934,9.83068797003366e-07,0.0889166509221986,0.59736983825738,1.53853146317917,0.550424382747311,0.813156891773708
494,1606.69171527943,"Successful completion",0.0197064984454072,0.99444330835244,0.403340054829935,0.678019602355548,0.646406984405041,5.01252849719718e-07,0.0747491190918189,3.99936804009831,1.67955069605979,0.588538810293282,1.05815975999686
495,1641.12113722786,"Successful completion",0.0199999999999959,0.993409540366415,0.400029959370672,0.655262974278545,0.596376311810856,5.39512877170683e-07,0.199999994656327,0.500086493592652,1.67600539457994,0.592160810194466,1.17712548363086
496,1503.26328902429,"Successful completion",0.0191507508142156,0.995858981274321,0.421135811505082,0.530941333778393,0.11284038741426,3.37821697499934e-09,0.0533343254705582,3.99999999930042,1.99863180616982,0.579587263517538,0.806297533144516
497,1444.62928283978,"Successful completion",0.00468455470184909,0.99572989682665,0.400073900948139,0.387666098632164,0.0335428079140359,9.99993493658716e-07,0.0935052053965703,0.522579699333945,1.49862352388028,0.525905115834264,0.84524668105108
498,1629.93213015867,"Successful completion",0.00101523934330238,0.994173281763501,0.446197326187926,0.695780529202859,0.683420096050248,9.9787787555383e-07,0.0832399851609444,3.9999999985149,1.49281936177787,0.608360290351391,1.06852497145731
499,1442.93625274044,"Successful completion",0.00496263366441853,0.995685399005756,0.414305516138382,0.385379535709403,0.0343141095503427,9.99999941270211e-07,0.0916914376646681,0.533411441291501,1.4907736243884,0.527151634034127,0.836915393461112
500,1459.24335046781,"Successful completion",0.0161944985072756,0.995439554646254,0.40000291556348,0.50178830710524,0.0971532579647549,2.09700572699126e-07,0.0871595837582063,0.611820987745664,1.48867101092306,0.541557903572875,0.83136648141453
501,1444.80982513497,"Successful completion",0.00474284615136372,0.995716553942238,0.400000072383299,0.390161143830441,0.0338472547328743,9.99999938731852e-07,0.0968160381769748,0.500000001255662,1.49917240525307,0.525186068108702,0.846898378859514
502,1459.50607457803,"Successful completion",0.00490842867842654,0.996157695201762,0.4,0.390118764880494,0.0364713135597402,4.76377825045107e-09,0.0439260993855682,3.94067353073186,1.51688635118393,0.547340862697615,0.809959727582501
503,1616.82475781893,"Successful completion",0.0199490963682635,0.995431106172996,0.411457047973347,0.574468925845207,0.526713910253754,7.62654198544087e-07,0.0611174031617358,3.75446376147799,1.99471185041928,0.589878462912153,1.03696279792544
504,1461.11418580599,"Successful completion",0.0199756035839422,0.99559416464762,0.417747017875079,0.521986017117106,0.113436826314479,9.99989942392014e-07,0.101508040566232,0.500364983651236,1.53534454569916,0.550511311925876,0.813851118933661
505,1480.29386997212,"Successful completion",0.0199896834443804,0.99584455127429,0.421042746658416,0.538205968585115,0.116885203553422,3.42620766821521e-09,0.0531164093083906,3.87123988582779,1.53594603739519,0.581192420864891,0.804699434253076
506,1442.91072598107,"Successful completion",0.00483660107791851,0.995717961644572,0.414518064976341,0.383825992983373,0.0335979574749584,9.58442170643541e-07,0.0921629653414776,0.530021928211565,1.49966554358627,0.526981607990589,0.837730598918138
507,1460.04371137116,"Successful completion",0.017318241408803,0.995801956280028,0.400000003903349,0.50614628076302,0.102651870732358,9.99998256264097e-07,0.0899365298416342,0.581089897373159,1.52674314168836,0.547249027465285,0.815699824082919
508,1485.24799977218,"Successful completion",0.0186321908945042,0.995581440636014,0.400084429508559,0.522007705366166,0.110293124190482,9.99998082000199e-07,0.103184516682344,0.500004481470904,1.99576169421822,0.548301898976248,0.815187791427698
509,1463.71657569378,"Successful completion",0.0199661746179477,0.995639258112884,0.402466403374835,0.533314340784575,0.117635286962761,5.75540219842908e-08,0.0844066261132976,0.680687383589041,1.52859526242996,0.553443182652466,0.811854163383603
510,1458.52557360208,"Successful completion",0.0010000063707913,0.995735855842388,0.4,0.286921990347266,0.0159747127809699,1e-06,0.0865170958084729,0.593153927342748,1.5263746372062,0.523121151010056,0.869203823570728
511,1600.08126846871,"Successful completion",0.00129138362074696,0.995004287919844,0.40000000010932,0.454728834247544,0.409445134821783,2.90288647253541e-07,0.0724985649610986,1.63604951537769,1.53977272728074,0.563846497532391,1.17787388284048
512,1486.7411247196,"Successful completion",0.0198461640016446,0.995607602354883,0.400011313348722,0.522706268109935,0.11798401745638,9.68108904787362e-07,0.094807599485713,0.561311963822808,1.99999999999706,0.550319319797028,0.81568800762155
513,1461.12174376848,"Successful completion",0.0199868742623156,0.995638518962939,0.414979317770346,0.518458985129989,0.114716061683911,9.97689453051023e-07,0.094865929791342,0.547453099634919,1.53702371797463,0.551031478659446,0.812295068789642
514,1463.58823674984,"Successful completion",0.0199999999999891,0.995614913486389,0.4,0.53171415222225,0.117573476359489,1e-06,0.102353487498941,0.500004385068981,1.53596969232949,0.550013338330367,0.820960543337746
515,1483.01417374954,"Successful completion",0.0199999955500701,0.995825581426356,0.423686548933982,0.503579876138664,0.114663855929418,9.9999312761072e-07,0.0895893070059524,0.595480569788421,1.97158177172739,0.550272273021792,0.809907202660154
516,1460.62440746961,"Successful completion",0.01961057538323,0.995607318416538,0.417022041726805,0.516890335295096,0.112121560143586,4.05324086962491e-07,0.095089770532865,0.547302266460728,1.53781567679102,0.551136296136206,0.811766839542133
517,1469.74777355203,"Successful completion",0.0199996859388551,0.995651856317547,0.400152267695331,0.488728588392545,0.132026429056467,1.33055121475917e-07,0.105543610019614,0.506289437846674,1.50254649639571,0.542182449110968,0.823442883797462
518,1516.23473047636,"Successful completion",0.0199934509653766,0.9956928502734,0.405991528114362,0.999991741468907,0.107541419389949,3.20450338841505e-07,0.0981068238039435,0.505739167585215,1.52762039458073,0.545888168946512,0.990688557635866
519,1708.69447917096,"Successful completion",0.02,0.992600850820866,0.423341017690719,0.682515955204523,0.619911655426427,1e-09,0.2,3.9999999999993,1.99999999998521,0.632373463463726,1.20728812766742
520,1463.37774838657,"Successful completion",0.0199999982962221,0.995635527589801,0.401230608151014,0.53224609617801,0.11716042525941,4.6097161652683e-07,0.102409599525645,0.500981907017767,1.53560713569081,0.54870643690001,0.820250320532592
521,1444.47435242957,"Successful completion",0.00467806710393515,0.995741549211041,0.400606798109599,0.386567190383154,0.0334819814571442,4.99078295990558e-07,0.0897293379566942,0.552869101904465,1.50123782775403,0.526834549859202,0.842005976170588
522,1461.06848738491,"Successful completion",0.0199775498227833,0.995598751377977,0.417752866423078,0.521001519652054,0.113552522489433,9.99830413800942e-07,0.10010224065219,0.509475496938113,1.53495223567857,0.550555634763623,0.813346857446617
523,1444.8096114342,"Successful completion",0.00474201053454814,0.995716603273109,0.400078275499198,0.390306725440582,0.0338425445263649,8.1523736836465e-07,0.0968742032360776,0.500000000165038,1.49919000506517,0.525211549254089,0.846889940432401
524,1459.49157677384,"Successful completion",0.00100002750368047,0.995678773718543,0.400000001842402,0.291337899358189,0.0161302996420977,9.99999999999983e-07,0.0989573585552846,0.500000000012717,1.527029728888,0.519764792087458,0.878732674381651
525,1461.98461781533,"Successful completion",0.019999616512724,0.99571788865486,0.420133581034598,0.501802283540071,0.114724477883808,9.99999905523503e-07,0.0864660408852859,0.615616754302411,1.53763296350307,0.555365920356339,0.812527860664653
526,1444.61496826156,"Successful completion",0.00476782034460117,0.995720559084197,0.400321456587697,0.389199506690967,0.0339963015840448,9.88982355335732e-07,0.0946154368963154,0.514636498932169,1.49852198805945,0.525692980649908,0.845525005217963
527,1516.89547199302,"Successful completion",0.0199999999997351,0.995679353647136,0.400000145761881,0.99999986779656,0.108772205519487,9.99999931949428e-07,0.0986541049892557,0.500003046374739,1.52421425337428,0.546718110805013,0.991713536119851
528,1870.63484841484,"Successful completion",0.02,0.995742950133802,0.400000000000001,1,0.0735248470366135,1e-06,0.0940599920524748,0.500006239800829,2,2,0.945680975372024
529,1921.99305817105,"Successful completion",0.00103728231930455,0.994627295207429,0.408054999776366,0.596468169501747,0.571080176574347,4.02583278427579e-07,0.0697342084135078,3.67330122887791,1.65365131128084,1.99997589426356,1.10315400420683
530,1479.20573183197,"Successful completion",0.00270523850169821,0.996002063845448,0.418905296190537,0.370851519694555,0.0210111358354671,4.92306219194651e-09,0.043665688857612,3.86061298155499,1.99999925204626,0.548607985034199,0.811224497389169
531,1444.78018473567,"Successful completion",0.00463251574377373,0.99576877995374,0.4,0.393823235398686,0.0331051247587276,7.72564321867241e-08,0.0826352428239462,0.640519404399293,1.50330549804132,0.527803110498999,0.835955481812499
532,1463.6087552286,"Successful completion",0.0199977616767864,0.99566042420019,0.400259487246127,0.526228845143456,0.117997026110857,4.14702963453511e-07,0.0900891047221643,0.59358926283818,1.54337019504438,0.551357047579821,0.816545248827355
