"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
52,1604.52549348997,"Maximum number of evaluations exceeded",0.0199999999999982,0.992992617905383,0.42345569368942,0.817801805705058,0.80005830938502,0.125497674900468,0.734446887445074,3.9999971951587,1.71762479548534,0.591838324891936,1.09619147126921
53,1487.47046575563,"Successful completion",0.00162262212545048,0.996425850422543,0.400000000000013,0.222139851927463,0.0146582605957533,0.0249798154475412,1.11784793831869,3.99298050224724,1.9999998312998,0.546601013638344,0.820277027461155
54,1809.16976771379,"Successful completion",0.0179951867055825,0.99564809300919,0.440118548728086,0.492438698067782,0.0708287084852762,0.0997452453573116,3.48712320116998,0.501127156045014,1.99999601617929,1.99996236627126,0.772621973635022
55,1470.66224228195,"Successful completion",0.0051182956427986,0.995610883520065,0.415146704032969,0.398410940657176,0.0349209285506075,0.092885051688431,4.9774324030304,0.548875260463869,1.9964994606621,0.53048956768219,0.831793337595141
56,1481.47732933185,"Successful completion",0.00104017040910597,0.995720932691078,0.41372424791044,0.292111473620427,0.0158981499333371,0.0840243608151192,4.99994962353819,0.637552870063061,1.99999988506816,0.526248345880794,0.859034562670433
57,1484.959520225,"Successful completion",0.0199999463500291,0.995592999270787,0.417572345468857,0.522497304458891,0.114723298329473,0.0925036757502761,4.97854828927407,0.592567694770009,1.99999754814642,0.552035751940301,0.807675755562066
58,1462.0297401618,"Successful completion",0.0199997581416205,0.995587616810743,0.41893028565308,0.531676529701485,0.11281612246895,0.103253572444417,4.84891279316177,0.502961022841971,1.53525562908986,0.551348198429116,0.814514104660012
59,1458.08308070227,"Successful completion",0.0192247085909317,0.995737921805542,0.419095639873387,0.52528983554863,0.109116843915915,0.0761351818641596,1.71168884506213,0.701921729268158,1.53590808328961,0.548052417962962,0.811025310900101
60,1463.7290789712,"Successful completion",0.0199058114012904,0.995655666498837,0.400000000027271,0.530969031017508,0.117667035326158,0.0905379252702172,4.99999997236467,0.604925535950675,1.53749930945575,0.551698395064753,0.817287380081649
61,1441.32319114879,"Successful completion",0.00462765930065389,0.995671577088372,0.414630655322931,0.391535607375775,0.032307504686148,0.0908324289997348,3.25164896168273,0.543628452710294,1.50473223164485,0.523015592124814,0.842223325834236
