"id","Value","Convergence","alpha_w","alpha_m","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
5351,1488.87207770828,0,0.00690833220475933,0.023857270328153,0.00307838553133216,0.994449211629872,0.458710899562532,0.329383993977239,0.0358274729110044,9.99497038533999e-07,0.0449117039070587,2.60607586011045,1.48014222855604,1.52605463331025,0.568152847345682,0.860608687961785
5352,1383.57619409069,0,0.00354629144507332,0.014467473624935,0.0010000277791886,0.993660222716536,0.400116268634152,0.184953599421519,0.0158889114473189,9.99979659128778e-07,0.0262838435182232,1.49386312532948,3.46544217143123,1.22884687970852,0.542927438393745,0.862814911814847
5353,1543.07866596065,0,7.93524744160916e-05,0.000241694811036945,0.00199669122737564,0.998560741282794,0.400000473472151,0.241778435386856,0.0124528967898686,9.999995061544e-07,0.0481072215223597,2.63182346213151,1.75929529457773,1.60857979166373,0.630919446489295,0.833856997116769
5354,1551.69588273735,0,0.000402893515750182,0.00295344295949049,0.0123306932165043,0.998267581142974,0.400085782338263,0.350588272064864,0.0472797315769852,9.99701470384908e-07,0.0836546893361894,4.61167887727325,0.868969667845522,1.52603414441881,0.634556575631722,0.910628801000101
5355,1551.9961280132,1,0.000904958868431394,0.00671921507958213,0.00812058771083954,0.993684143588412,0.4,0.335382059356703,0.0372673524974348,1e-06,0.0572105964620252,4.99155481978311,1.20141061192726,1.52750346351345,0.604167040696152,0.971239879386298
5356,1415.67267303181,0,0.00247714730941569,0.012807280869977,0.00149489236106758,0.992764899361043,0.400004264622025,0.295639918190156,0.0151867642765348,9.98331089137611e-07,0.0567016940413536,5,1.16108057457887,1.30324397308217,0.546146073634661,0.880287679131951
5357,1549.04128713406,0,0.00876623726967779,0.0271403652200366,0.00264925065784543,0.997126570218725,0.479564754566894,0.269714845566019,0.0475014368741699,9.99662492337851e-07,0.0340760945342322,1.11326571549233,2.1297095037798,1.59615629869245,0.583170498604366,0.953074744803178
5358,1408.7667623707,0,0.00385243781348452,0.0147190488263139,0.00385363522224341,0.995991505862135,0.451269875791189,0.42807339244697,0.0297971276234467,9.99515369427804e-07,0.0715331543061545,4.88711045661878,0.832748503268503,1.10226260205746,0.650099247118051,0.853536979877904
5359,1521.3063632744,0,0.0121047705904117,0.02489523491774,0.0031241521474926,0.99852540165325,0.493543031323337,0.429062616094051,0.0245105186315431,9.99865083736597e-07,0.0336320789531913,0.791595204916556,1.96426650443341,1.49745045131772,0.556048138885637,1.05095173854468
5360,1447.43508288205,0,0.00389982965205238,0.0156253356910931,0.00665988357736067,0.994998534075426,0.456903661215469,0.337618152313152,0.0515393529420897,9.9972469759687e-07,0.0308297686332843,0.769969670614732,2.40729751106079,1.28450885913908,0.612361008380042,0.863717963927346
5361,1722.88784837061,2,0.00307611461832504,0.018499139442354,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
