"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
485,1460.47623186184,"Successful completion",0.019999999998463,0.995833835859136,0.40000000002852,0.524222735163159,0.118177583555017,0.0724259554981772,1.42717111342222,0.707925064235807,1.53978944832576,0.546854957779525,0.816223645192596
486,1487.9547550266,"Successful completion",0.0199999800013621,0.996203017462577,0.412763918563577,0.473185275469905,0.117981003259426,0.0455887434477902,0.989289112022871,1.32206527103065,1.98987469887136,0.561314934433655,0.798097579441995
487,1460.91908542507,"Successful completion",0.0199999996889301,0.995965080762762,0.400001208984564,0.515111358469161,0.118405348078686,0.055753492249796,0.964654948202646,0.949921100300026,1.54384323819013,0.547611808241155,0.815724935182573
488,1638.4167185589,"Successful completion",0.0199896632024694,0.993284312499193,0.411639750268204,0.671094286689653,0.616585864354867,0.19993236032824,1.67094984088995,0.503178745174516,1.67280229338778,0.592577882410038,1.17730919336781
489,1617.25990611146,"Successful completion",0.018266598711079,0.994482797936495,0.409381445653119,0.649406790356298,0.615337494771334,0.0705948623662744,3.2498852368621,3.99976553989032,1.97279786605524,0.590583458695809,1.05269388545916
490,1825.82269491373,"Successful completion",0.0108115047104833,0.970195058491676,0.422560910127739,0.905309178898345,0.904981765138831,0.199467231584728,1.10858229578769,3.99999951580843,1.99981768167717,0.626847624861515,1.17746826848552
491,1606.54805445374,"Successful completion",0.02,0.995650788955361,0.410341491331967,0.570929247280954,0.122871075574908,0.0998602182232824,4.9228906603022,0.50000007142978,1.52595713812241,0.544797797580016,1.99999731179282
492,1927.18700535755,"Successful completion",0.0199999999943287,0.994664801643796,0.400476401272148,0.623273815013724,0.579935515314533,0.0676506994750003,4.99999998586152,3.99999999995211,1.99980715610166,1.99999996286334,1.03598630150481
493,1460.96911589704,"Successful completion",0.0199588658813634,0.99562059573846,0.417461304942572,0.517944495789282,0.113746125755656,0.0971009470159603,4.99046159721614,0.528357487730699,1.53650982447875,0.550630563932933,0.812196183425698
494,1444.73251554246,"Maximum number of evaluations exceeded",0.0047548714302425,0.99571855359128,0.400005352169324,0.389049200103969,0.0339280569192121,0.0965183836567749,4.99998758004239,0.500149664244785,1.49958234122985,0.525321966658159,0.846475614613689
495,1638.4637371034,"Successful completion",0.0199816031918359,0.993336435645659,0.4,0.671866254637383,0.614906261564819,0.199999945962643,1.62479832639922,0.500011651804882,1.66282564921746,0.59171673829602,1.17989407294833
496,1444.09871143589,"Successful completion",0.00475455210075928,0.995726532763857,0.400001006411451,0.389412412051052,0.0338656028011435,0.0953859546511922,4.48568645905186,0.505872589151373,1.50300717487573,0.525190756758989,0.842157301770552
497,1470.68659111952,"Successful completion",0.00508563081998848,0.995698152862213,0.414643571018342,0.388043854469011,0.0349513149109655,0.0948570055937575,4.94736042130099,0.514672600776696,1.99982143567166,0.528598039771786,0.832861481272412
498,1607.82263067859,"Successful completion",0.0199994328276035,0.994092740557997,0.409089915873341,0.690210499110286,0.661295855651797,0.0768143441556964,4.99999969578803,3.99999999999981,1.66830615636763,0.589377298347296,1.05575426993325
499,1484.05785608952,"Successful completion",0.0199938753808723,0.995615095174918,0.418225027208093,0.516890929673452,0.114931538177185,0.0964035571535678,3.85840842714129,0.538179119572331,1.99974343030393,0.550838580252375,0.807160526736306
500,1462.48243388412,"Successful completion",0.0196289561781446,0.995625267304096,0.400222169382558,0.529058552695805,0.115320755744861,0.100921235374562,3.9694889091442,0.50264832673934,1.53659123338643,0.549142176679634,0.817027897084348
501,1478.38277765144,"Successful completion",0.00100001124834843,0.996487216900056,0.4,0.203296752045096,0.00884898233846844,0.0225968636843592,0.801653623621974,3.92288870465519,1.6168732066449,0.54476648850219,0.815625001216068
502,1601.64332953579,"Successful completion",0.0191618883450935,0.994902830860994,0.404015074127911,0.625064296594931,0.58036381220758,0.067321799403638,0.937626061542325,3.07922406525395,1.6541922773873,0.580698674667158,1.0707899082528
503,1444.72186501924,"Successful completion",0.00331857786351209,0.99572354287554,0.422103411212485,0.346944090546058,0.0267353070204326,0.0963185733630228,4.99999999997563,0.500000145889362,1.49685992434175,0.524081668592334,0.845606966839216
