"chemostat","time","prev0","wildtype","cI857","coinf","suscept","cI857col","prevalence","g","logit_g","logit_prev"
"chem3",7,100,29004,20598,361,37,"CFP",0.999254618344447,0.415265513487359,-0.342239767805736,7.20086852183657
"chem3",8,100,31190,18266,533,11,"CFP",0.999777629530798,0.369338401811711,-0.535056122350225,8.41094339157346
"chem3",9,100,30509,19031,450,10,"CFP",0.999798183652876,0.38415421881308,-0.471952493517568,8.50795061004925
"chem3",10,100,28816,20872,285,27,"CFP",0.999456904354822,0.420061181774271,-0.322522240599173,7.5176818682348
"chem3",11,100,31957,17306,725,12,"CFP",0.999756468797565,0.351298134502568,-0.613337986973545,8.32002192137173
"chem3",12,100,33195,15591,1206,8,"CFP",0.99983604541542,0.319579387529209,-0.755705437476708,8.71575712375605
"chem3",13,100,32780,15881,1248,91,"CFP",0.998133409911388,0.326359918620661,-0.724695147187174,6.28177366036986
"chem3",14,100,32793,15982,1156,69,"CFP",0.998587339284252,0.327667862634546,-0.718751989027537,6.56086666089406
"chem3",15,100,34523,13105,2095,277,"CFP",0.994217722575932,0.275153271185017,-0.968631931805105,5.14715859638373
"chem3",16,100,33891,13605,2220,284,"CFP",0.994056090414399,0.28644517433047,-0.912712120177692,5.11942653778931
"chem3",17,100,32712,15525,1658,105,"CFP",0.997827975673328,0.321848373655078,-0.745290355242799,6.12992129025502
"chem3",18,100,33609,13546,2563,282,"CFP",0.994055273309864,0.28726540133602,-0.908702587451984,5.11928825603988
"chem3",19,100,32863,14187,2686,264,"CFP",0.994420256160967,0.301530286928799,-0.840021352521018,5.18301704186722
"chem3",20,100,31789,13403,4387,421,"CFP",0.99077017516936,0.296579040538148,-0.863641755498747,4.67604252532272
"chem3",25,100,30796,15144,3842,218,"CFP",0.995277091728411,0.329647366129734,-0.709780397508781,5.35059641345399
"chem3",26,100,28301,20155,1501,43,"CFP",0.999113383781109,0.415944361895328,-0.339444743144818,7.02721133296726
"chem3",27,100,29669,19073,1217,41,"CFP",0.999159543283521,0.391305239834229,-0.441829007262252,7.08072429369123
"chem3",28,100,30923,17642,1353,82,"CFP",0.998314387320904,0.363265726346134,-0.561217820755626,6.38393913857215
"chem3",29,100,30216,18537,1205,42,"CFP",0.999139256071319,0.380222755522737,-0.488602850663204,7.05685239471079
"chem3",30,100,30843,17922,1184,51,"CFP",0.998955260570305,0.36751768686558,-0.542880811766663,6.86294248868179
"chem3",31,100,28070,21338,541,51,"CFP",0.998968842879961,0.431873380829016,-0.274211869604521,6.87604200066007
